332 ('/invoke/executor.py', 'normalize', 'task')
333 ('/invoke/executor.py', 'normalize', 'name')
334 ('/invoke/executor.py', 'normalize', 'kwargs')
335 ('/invoke/executor.py', 'normalize', 'c')
336 ('/invoke/executor.py', 'normalize', 'normalize_ret')
337 ('/invoke/executor.py', 'expand_calls', 'self')
338 ('/invoke/executor.py', 'expand_calls', 'calls')
339 ('/invoke/executor.py', 'expand_calls', 'ret')
340 ('/invoke/executor.py', 'expand_calls', 'call')
341 ('/invoke/executor.py', 'expand_calls', 'expand_calls_ret')
342 ('/invoke/executor.py', 'dedupe', 'self')
343 ('/invoke/executor.py', 'dedupe', 'calls')
344 ('/invoke/executor.py', 'dedupe', 'deduped')
345 ('/invoke/executor.py', 'dedupe', 'call')
346 ('/invoke/executor.py', 'dedupe', 'dedupe_ret')
347 ('/invoke/collection.py', 'configuration', 'taskpath')
348 ('/invoke/collection.py', 'configuration', 'self')
349 ('/invoke/collection.py', 'configuration', 'configuration_ret')
350 ('/invoke/config.py', 'load_collection', 'merge')
351 ('/invoke/config.py', 'load_collection', 'self')
352 ('/invoke/config.py', 'load_collection', 'data')
353 ('/invoke/config.py', 'load_shell_env', 'self')
354 ('/invoke/config.py', 'load_shell_env', 'loader')
355 ('/invoke/tasks.py', '__init__', 'kwargs')
356 ('/invoke/tasks.py', '__init__', 'args')
357 ('/invoke/tasks.py', '__init__', 'called_as')
358 ('/invoke/tasks.py', '__init__', 'task')
359 ('/invoke/config.py', 'merge_dicts', 'base')
360 ('/invoke/config.py', 'merge_dicts', 'updates')
361 ('/invoke/config.py', 'merge_dicts', 'key')
362 ('/invoke/config.py', 'merge_dicts', 'value')
363 ('/invoke/config.py', 'merge_dicts', 'merge_dicts_ret')
364 ('/invoke/tasks.py', 'argspec', 'self')
365 ('/invoke/tasks.py', 'argspec', 'body')
366 ('/invoke/tasks.py', 'argspec', 'func')
367 ('/invoke/tasks.py', 'argspec', 'spec')
368 ('/invoke/tasks.py', 'argspec', 'arg_names')
369 ('/invoke/tasks.py', 'argspec', 'x')
370 ('/invoke/tasks.py', 'argspec', 'matched_args')
371 ('/invoke/tasks.py', 'argspec', 'spec_dict')
372 ('/invoke/tasks.py', 'argspec', 'context_arg')
373 ('/invoke/tasks.py', 'argspec', 'argspec_ret')
374 ('/invoke/collection.py', 'add_collection', 'name')
375 ('/invoke/collection.py', 'add_collection', 'self')
376 ('/invoke/collection.py', 'add_collection', 'coll')
377 ('/invoke/collection.py', 'add_collection', 'err')
378 ('/invoke/config.py', 'load_system', 'merge')
379 ('/invoke/config.py', 'load_system', 'self')
380 ('/invoke/config.py', 'load_user', 'merge')
381 ('/invoke/config.py', 'load_user', 'self')
382 ('/invoke/config.py', '_merge_file', 'self')
383 ('/invoke/config.py', '_merge_file', 'name')
384 ('/invoke/config.py', '_merge_file', 'desc')
385 ('/invoke/config.py', '_merge_file', 'found')
386 ('/invoke/config.py', '_merge_file', 'path')
387 ('/invoke/config.py', '_merge_file', 'data')
388 ('/invoke/config.py', 'obliterate', 'base')
389 ('/invoke/config.py', 'obliterate', 'deletions')
390 ('/invoke/config.py', 'obliterate', 'key')
391 ('/invoke/config.py', 'obliterate', 'value')
392 ('/invoke/parser/argument.py', '__init__', 'attr_name')
393 ('/invoke/parser/argument.py', '__init__', 'incrementable')
394 ('/invoke/parser/argument.py', '__init__', 'optional')
395 ('/invoke/parser/argument.py', '__init__', 'positional')
396 ('/invoke/parser/argument.py', '__init__', 'help')
397 ('/invoke/parser/argument.py', '__init__', 'default')
398 ('/invoke/parser/argument.py', '__init__', 'kind')
399 ('/invoke/parser/argument.py', '__init__', 'names')
400 ('/invoke/parser/argument.py', '__init__', 'name')
401 ('/invoke/parser/argument.py', '__init__', 'self')
402 ('/invoke/parser/argument.py', '__init__', 'msg')
403 ('/invoke/parser/argument.py', '__init__', 'initial_value')
404 ('/invoke/parser/context.py', 'to_flag', 'name')
405 ('/invoke/parser/context.py', 'to_flag', 'to_flag_ret')
406 ('/invoke/collection.py', 'task_with_config', 'self')
407 ('/invoke/collection.py', 'task_with_config', 'name')
408 ('/invoke/collection.py', 'task_with_config', 'ours')
409 ('/invoke/collection.py', 'task_with_config', 'task_with_config_ret')
410 ('/invoke/collection.py', 'task_with_config', 'coll')
411 ('/invoke/collection.py', 'task_with_config', 'rest')
412 ('/invoke/env.py', '__init__', 'self')
413 ('/invoke/env.py', '__init__', 'config')
414 ('/invoke/env.py', '__init__', 'prefix')
415 ('/invoke/env.py', 'load', 'self')
416 ('/invoke/env.py', 'load', 'env_vars')
417 ('/invoke/env.py', 'load', 'm')
418 ('/invoke/env.py', 'load', 'env_var')
419 ('/invoke/env.py', 'load', 'key_path')
420 ('/invoke/env.py', 'load', 'real_var')
421 ('/invoke/env.py', 'load', 'load_ret')
422 ('/invoke/config.py', '_merge_error', 'orig')
423 ('/invoke/config.py', '_merge_error', 'new_')
424 ('/invoke/config.py', '_merge_error', '_merge_error_ret')
425 ('/invoke/config.py', '_load_file', 'merge')
426 ('/invoke/config.py', '_load_file', 'absolute')
427 ('/invoke/config.py', '_load_file', 'self')
428 ('/invoke/config.py', '_load_file', 'prefix')
429 ('/invoke/config.py', '_load_file', 'found')
430 ('/invoke/config.py', '_load_file', 'path')
431 ('/invoke/config.py', '_load_file', 'data')
432 ('/invoke/config.py', '_load_file', 'midfix')
433 ('/invoke/config.py', '_load_file', 'absolute_path')
434 ('/invoke/config.py', '_load_file', 'paths')
435 ('/invoke/config.py', '_load_file', 'path_prefix')
436 ('/invoke/config.py', '_load_file', 'x')
