0 ('/setup.py', 'find_package_info', 'file_paths')
379 ('/hacking/build_library/build_ansible/announce.py', 'create_short_message', 'versions')
380 ('/hacking/build_library/build_ansible/announce.py', 'create_short_message', 'version_template')
381 ('/hacking/build_library/build_ansible/announce.py', 'create_short_message', 'version_str')
382 ('/hacking/build_library/build_ansible/announce.py', 'create_short_message', 'template')
383 ('/hacking/build_library/build_ansible/announce.py', 'create_short_message', 'message')
384 ('/hacking/build_library/build_ansible/announce.py', 'module_initializer', '__metaclass__')
385 ('/hacking/build_library/build_ansible/announce.py', 'module_initializer', 'VERSION_FRAGMENT')
386 ('/hacking/build_library/build_ansible/announce.py', 'module_initializer', 'LONG_TEMPLATE')
387 ('/hacking/build_library/build_ansible/announce.py', 'module_initializer', 'SHORT_TEMPLATE')
388 ('/hacking/build_library/build_ansible/announce.py', 'module_initializer', 'JINJA_ENV')
389 ('/hacking/build_library/build_ansible/commands.py', 'init_parser', 'add_parser')
390 ('/hacking/build_library/build_ansible/commands.py', 'main', 'arguments')
391 ('/hacking/build_library/build_ansible/commands.py', 'module_initializer', '__metaclass__')
392 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_base_docs', 'args')
393 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_base_docs', 'modified_deps_file')
394 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_base_docs', 'deps_file_contents')
395 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_full_docs', 'args')
396 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_full_docs', 'ansible_base_ver')
397 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_full_docs', 'ansible_base_major_ver')
398 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_full_docs', 'deps_files')
399 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_full_docs', 'latest')
400 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_full_docs', 'latest_ver')
401 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_full_docs', 'deps_data')
402 ('/hacking/build_library/build_ansible/command_plugins/docs_build.py', 'generate_full_docs', 'new_version')
