344 ('/zfs/vdevs.py', 'read_label', 'uberblock_array')
345 ('/zfs/vdevs.py', 'read_label', 'uberblocks')
346 ('/zfs/vdevs.py', 'read_label', 'elem')
347 ('/zfs/vdevs.py', 'read_label', 'this_block')
348 ('/zfs/vdevs.py', 'read_label', 'b')
349 ('/zfs/vdevs.py', 'read_dva', 'self')
350 ('/zfs/vdevs.py', 'read_dva', 'dva')
351 ('/zfs/vdevs.py', 'read_dva', 'offset')
352 ('/zfs/vdevs.py', 'read_dva', 'data')
353 ('/zfs/vdevs.py', 'VDev_class_initializer', 'LABELS')
354 ('/zfs/vdevs.py', 'module_initializer', 'LABEL_PAD')
355 ('/zfs/vdevs.py', 'module_initializer', 'UBER_AREA')
356 ('/zfs/vdevs.py', 'module_initializer', 'logger')
357 ('/zfs/constants.py', 'Compression_class_initializer', 'INHERIT')
358 ('/zfs/constants.py', 'Compression_class_initializer', 'ON')
359 ('/zfs/constants.py', 'Compression_class_initializer', 'OFF')
360 ('/zfs/constants.py', 'Compression_class_initializer', 'LZJB')
361 ('/zfs/constants.py', 'Compression_class_initializer', 'EMPTY')
362 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_1')
363 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_2')
364 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_3')
365 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_4')
366 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_5')
367 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_6')
368 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_7')
369 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_8')
370 ('/zfs/constants.py', 'Compression_class_initializer', 'GZIP_9')
371 ('/zfs/constants.py', 'Compression_class_initializer', 'ZLE')
372 ('/zfs/constants.py', 'Compression_class_initializer', 'LZ4')
373 ('/zfs/constants.py', 'Checksum_class_initializer', 'INHERIT')
374 ('/zfs/constants.py', 'Checksum_class_initializer', 'ON')
375 ('/zfs/constants.py', 'Checksum_class_initializer', 'OFF')
376 ('/zfs/constants.py', 'Checksum_class_initializer', 'LABEL')
377 ('/zfs/constants.py', 'Checksum_class_initializer', 'GANG_HEADER')
378 ('/zfs/constants.py', 'Checksum_class_initializer', 'ZILOG')
379 ('/zfs/constants.py', 'Checksum_class_initializer', 'FLETCHER_2')
380 ('/zfs/constants.py', 'Checksum_class_initializer', 'FLETCHER_4')
381 ('/zfs/constants.py', 'Checksum_class_initializer', 'SHA256')
382 ('/zfs/constants.py', 'Checksum_class_initializer', 'ZILOG2')
383 ('/zfs/constants.py', 'Checksum_class_initializer', 'NOPARITY')
384 ('/zfs/constants.py', 'ObjectSetType_class_initializer', 'NONE')
385 ('/zfs/constants.py', 'ObjectSetType_class_initializer', 'META')
386 ('/zfs/constants.py', 'ObjectSetType_class_initializer', 'ZFS')
387 ('/zfs/constants.py', 'ObjectSetType_class_initializer', 'ZVOL')
388 ('/zfs/constants.py', 'TryConfig_class_initializer', 'read_all_dvas')
389 ('/zfs/constants.py', 'ObjectType_class_initializer', 'NONE')
390 ('/zfs/constants.py', 'ObjectType_class_initializer', 'OBJECT_DIRECTORY')
391 ('/zfs/constants.py', 'ObjectType_class_initializer', 'OBJECT_ARRAY')
392 ('/zfs/constants.py', 'ObjectType_class_initializer', 'PACKED_NVLIST')
393 ('/zfs/constants.py', 'ObjectType_class_initializer', 'PACKED_NVLIST_SIZE')
394 ('/zfs/constants.py', 'ObjectType_class_initializer', 'BPOBJ')
395 ('/zfs/constants.py', 'ObjectType_class_initializer', 'BPOBJ_HDR')
396 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SPACE_MAP_HEADER')
397 ('/zfs/constants.py', 'ObjectType_class_initializer', 'SPACE_MAP')
398 ('/zfs/constants.py', 'ObjectType_class_initializer', 'INTENT_LOG')
399 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DNODE')
400 ('/zfs/constants.py', 'ObjectType_class_initializer', 'OBJSET')
401 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_DIR')
402 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_DIR_CHILD_MAP')
403 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_DS_SNAP_MAP')
404 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_PROPS')
405 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DSL_DATASET')
406 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ZNODE')
407 ('/zfs/constants.py', 'ObjectType_class_initializer', 'OLDACL')
408 ('/zfs/constants.py', 'ObjectType_class_initializer', 'PLAIN_FILE_CONTENTS')
409 ('/zfs/constants.py', 'ObjectType_class_initializer', 'DIRECTORY_CONTENTS')
410 ('/zfs/constants.py', 'ObjectType_class_initializer', 'MASTER_NODE')
411 ('/zfs/constants.py', 'ObjectType_class_initializer', 'UNLINKED_SET')
412 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ZVOL')
413 ('/zfs/constants.py', 'ObjectType_class_initializer', 'ZVOL_PROP')
414 ('/zfs/constants.py', 'ObjectType_class_initializer', 'PLAIN_OTHER')
415 ('/zfs/constants.py', 'ObjectType_class_initializer', 'UINT64_OTHER')
